,image_path,label
2054,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PECKQ6815EVQLH.png,1
2077,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/YWVWS142BCDPIL.png,1
2103,/content/drive/MyDrive/solar_PV/data/France/google_all/img/APDDV6A8BKOOX.png,1
2112,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NTMQB661FDRLYO.png,1
2134,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NAOHA31EFAPSZR.png,1
2201,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JODUK4FEHVPCX.png,1
2223,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WDAIM78BBMNNIZ.png,1
2247,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RCDAQ8199LKQZT.png,1
2273,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SGEGB6949JNJLP.png,1
2308,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ZKLQW7F1BJFKPF.png,1
2376,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YDCLW27A3EKANY.png,1
2415,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/OJDBO362FNWRSH.png,1
2607,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SKVOE1BC6OKKCG.png,1
2621,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LYSZH7602WIGLJ.png,1
2749,/content/drive/MyDrive/solar_PV/data/France/google_all/img/AUSMP373FFMWKD.png,1
2766,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CJNMT568ARWYEL.png,1
2818,/content/drive/MyDrive/solar_PV/data/France/google_all/img/DAWXK724PFEUG.png,1
2826,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/DVFBM8E48ZKGXW.png,1
2854,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/VOUDE2E41FTKBN.png,1
2858,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XJAMJ15CDMYFXQ.png,1
2865,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MWJYR6D4EBCEGD.png,1
2911,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ABIJJ2982PECLV.png,1
3041,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QHLIM66FCBNAVK.png,1
3066,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NJRTHBA7SZNDG.png,1
3133,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/IEZTM7D0BXIAZG.png,1
3141,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TSLFSA34NPJZQ.png,1
3243,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QWLPX4AB0QSPVQ.png,1
3279,/content/drive/MyDrive/solar_PV/data/France/google_all/img/UQHYE4674SYHKD.png,1
3386,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/XWVQJ5DD6HHUEQ.png,1
3401,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ZVQBZ12FBDVTCN.png,1
3436,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GGFUD62CFUOFJK.png,1
3437,/content/drive/MyDrive/solar_PV/data/France/google_all/img/UJUJT27FFOTPNA.png,1
3473,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/WERDL36D3KWUQA.png,1
3481,/content/drive/MyDrive/solar_PV/data/France/google_all/img/IUYSK456BQKFJE.png,1
3550,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PWJYA56FEERLZZ.png,1
3560,/content/drive/MyDrive/solar_PV/data/France/google_all/img/IWKNX4644PVGPA.png,1
3582,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/VZOHU2816OVNOC.png,1
3597,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/CJEUS2957MFNRN.png,1
3635,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MNVEJ3C98IYXQL.png,1
3665,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WWWHA547EDDFLW.png,1
3688,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VEBTK1640TNSUA.png,1
3796,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XRYCW53EBWRDJU.png,1
3803,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TFPAW53BFSEBBW.png,1
3823,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FDFIL3BB7WFCQA.png,1
3864,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ASQTB6860MCGZH.png,1
3871,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JNTYX3206EVMPG.png,1
3880,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NMPQP81EEJHMCX.png,1
3900,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NDUVJ1F90MHFRV.png,1
4057,/content/drive/MyDrive/solar_PV/data/France/google_all/img/HXBVF45BEZTAHF.png,1
4107,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NJFKN906EHLYZH.png,1
4213,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZPJMG3365ASGLE.png,1
4326,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MYDQJ5AE8NYRFY.png,1
4390,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VRYLL429DUGQHS.png,1
4443,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PYTSQ14D4AMOLF.png,1
4490,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/WWXAL158FLECM.png,1
4553,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YJODI51AGTRAO.png,1
4601,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ZIDMG1201ETABU.png,1
4691,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/EQORO2ED4KXVAX.png,1
4724,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/YSBRN5C83YEHAV.png,1
4752,/content/drive/MyDrive/solar_PV/data/France/google_all/img/IMKAQ5A59VOZOS.png,1
4807,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TPXRG4190HDPFY.png,1
4870,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZNWKW8E15FILJR.png,1
4931,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SYXYB4016PNGUH.png,1
4937,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/JXLMZF48CYOKW.png,1
4991,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/QVYTW31D1FUCXX.png,1
5018,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JYIMF1682OPMKF.png,1
5020,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZXFSA42A8CSELD.png,1
5032,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VJPFG5F62VFTHV.png,1
5084,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JYPLD98BDSBRK.png,1
5177,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/XLTOQ2D9ATHMPC.png,1
5217,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SLSHWEEENBJW.png,1
5304,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/YMKFN2EBBMEYMP.png,1
5305,/content/drive/MyDrive/solar_PV/data/France/google_all/img/INWFC46F6RMSCG.png,1
5329,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/GGSFP4617FUJYN.png,1
5384,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PQCEI2AE6SYLQY.png,1
5391,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/PJNYK8E1CDSWW.png,1
5423,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QNXGP758ARFBDF.png,1
5433,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KELYQ47AEYZMWB.png,1
5469,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/CPKZF3026NZAVL.png,1
5481,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XGJPC7EC9HBDGO.png,1
5516,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XFEGX733AWXYAG.png,1
5711,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RKBCYF36MUFHU.png,1
5744,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/QGCOU8ECSVEHR.png,1
5772,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NXKBP4C7LKORS.png,1
5778,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OROXY17F7YFYNR.png,1
5861,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/HZSGD2938NCNDO.png,1
5883,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VSJIL5D5EOVQEV.png,1
5917,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/DFVSG57FPVRVQ.png,1
5934,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VHKUT2F4ERFVKT.png,1
5944,/content/drive/MyDrive/solar_PV/data/France/google_all/img/HVAEA664EORUMU.png,1
5968,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KJWSU2F92GFAQS.png,1
6055,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ITUEF813FEITYO.png,1
6056,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VUMLX9999WVNTS.png,1
6072,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CJZEQ5840FJPJR.png,1
6105,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/WPPYN6BA6SBLBX.png,1
6229,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZUQXT1B8EPBCUP.png,1
6266,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LHHFP47FCYSLLV.png,1
6310,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FYZGA6027SDYFP.png,1
6423,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TYVFV4447NYJFP.png,1
6464,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YQKNJ5924WAMBK.png,1
6593,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RDJAC288BYDXMF.png,1
6623,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/PYNQME54PHDFH.png,1
6673,/content/drive/MyDrive/solar_PV/data/France/google_all/img/HSIYA235CLXAFU.png,1
6779,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/IOKSU533BMGZBO.png,1
6925,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/QIYKC15E4TTOPW.png,1
6997,/content/drive/MyDrive/solar_PV/data/France/google_all/img/DKGEW26A5QGOUE.png,1
7023,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ETTUA535ANZWSL.png,1
7029,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ASUPY4D4AVMJYV.png,1
7036,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RWLGO7E13HNYED.png,1
7058,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EVEER3FC5LBMFX.png,1
7075,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SHZMX2293CGHHT.png,1
7092,/content/drive/MyDrive/solar_PV/data/France/google_all/img/STZQG4707NUWGX.png,1
7254,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZZNSM2C12QZENU.png,1
7279,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FYUHR502SHYHH.png,1
7387,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ABILY3194KFUTE.png,1
7424,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JDCJE7C7FPLHTB.png,1
7426,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SRFZI506FNBALW.png,1
7427,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XBZXQ4F47OOUOS.png,1
7465,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/KJKJG44D9SDIXK.png,1
7508,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QEJUPE3DAVDOM.png,1
7578,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XMXGZ5564JANHU.png,1
7659,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/RTHYN3A96KOUQL.png,1
7712,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/RSIYK7B74PIUQA.png,1
7737,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ISVIL650FIUXFL.png,1
7740,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YGKCG2351KBXVA.png,1
7823,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MVDPL6C51SBBRU.png,1
7838,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MRYFN7610HDDML.png,1
7841,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/PCLDX4424SBLCA.png,1
7880,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RSQUW327DFRRVH.png,1
7882,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZZFEM3626MPESC.png,1
7911,/content/drive/MyDrive/solar_PV/data/France/google_all/img/YCLNK1681VWDRD.png,1
7913,/content/drive/MyDrive/solar_PV/data/France/google_all/img/DBDLX6015TNSAP.png,1
7917,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ECXBD8C97KBGZQ.png,1
7931,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UQWRE2B7DQXLWF.png,1
7974,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RUANQ39FCSEKMW.png,1
8025,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/BXAUV478CSIOQA.png,1
8067,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UAIXZ429AEMIMY.png,1
8124,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/YSQFK4122XZXLK.png,1
8218,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GXOAK6A72EPKAB.png,1
8310,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/UQUBL8497JDJPJ.png,1
8318,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XFZVF41DAQZYEN.png,1
8502,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/TVPWA1500JHUMF.png,1
8564,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JZMSY6F22USFIY.png,1
8607,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/SRAPB1B81DHRTR.png,1
8635,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/PXASVD81VWAQM.png,1
8688,/content/drive/MyDrive/solar_PV/data/France/google_all/img/AOLTV236BRFLNQ.png,1
8770,/content/drive/MyDrive/solar_PV/data/France/google_all/img/BGFFH5B1AIFVVS.png,1
8846,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KSCVF3769JOAQW.png,1
8863,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/FUGJL50C4PUXCH.png,1
8963,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZYNLA3119CNSPG.png,1
9005,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NOSEQ15D2JIKAJ.png,1
9016,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/RFTZC3700WOPVU.png,1
9326,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NMRJQ834DXYGGP.png,1
9332,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EWINL33C7UMUDC.png,1
9374,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/HFZHQ883EODMOJ.png,1
9426,/content/drive/MyDrive/solar_PV/data/France/google_all/img/RUQDK48F7JUQKE.png,1
9480,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ZSSZC8FCDAYMHD.png,1
9699,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/GQYMZ5F9KJEMZ.png,1
9745,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KKOXY215AEYPDX.png,1
9749,/content/drive/MyDrive/solar_PV/data/France/google_all/img/FMHXL4A2BTGUHK.png,1
9752,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JCHBO686EAXSKJ.png,1
9871,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ZHZRY55ENMSVU.png,1
9932,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EWMPI4AE9QTLTD.png,1
9966,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/BQVKL54FFHRMAB.png,1
10020,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EBJQX4AF7JGAXT.png,1
10051,/content/drive/MyDrive/solar_PV/data/France/google_all/img/BSTDK29B7FCLZL.png,1
10076,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KRYLN2B39BLGXE.png,1
10157,/content/drive/MyDrive/solar_PV/data/France/google_all/img/IXGEQ3D96MKAPQ.png,1
10219,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/GSTPS70A0ZOSAX.png,1
10241,/content/drive/MyDrive/solar_PV/data/France/google_all/img/REMCM3380HMHNC.png,1
10253,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ITWQK5592NKAOL.png,1
10268,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/CJKLO153EHRPUM.png,1
10314,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SQFAP520ULIBF.png,1
10339,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/IAJSS6B62FIAMJ.png,1
10457,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OJTBO6237XOTEN.png,1
10527,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WZOYS98DYQEYT.png,1
10581,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/TJDGX2654HAZUI.png,1
10620,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LXHIZ75BECGHDL.png,1
10641,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/YKZEV257KAMUN.png,1
10662,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/SVRHN4680QDZDS.png,1
10672,/content/drive/MyDrive/solar_PV/data/France/google_all/img/JMKMO7323FIKAH.png,1
10722,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LMWCH407CDCTYX.png,1
10770,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OKRPVAD5PPECI.png,1
10782,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VXMDX42ACXWGZN.png,1
10843,/content/drive/MyDrive/solar_PV/data/France/google_all/img/CONKD8096FKHEP.png,1
10875,/content/drive/MyDrive/solar_PV/data/France/google_all/img/USTMJ7335VRONE.png,1
10877,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VXDLC79F8MHSHX.png,1
10978,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SULGN546EZPYEA.png,1
10988,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/NXNDA461CENVXL.png,1
10998,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GRSOC7E77COLYA.png,1
11010,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SWXTN6576GBSHH.png,1
11017,/content/drive/MyDrive/solar_PV/data/France/google_all/img/GPVJK17C2HVZBC.png,1
11171,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KMOLH45D8PWRMY.png,1
11188,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KLHIG2A88IOXDT.png,1
11200,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/DVZDO37B2EFXIJ.png,1
11365,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LJWAM4539ZMCFI.png,1
11367,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/BXIEY6A73KEWDS.png,1
11409,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VCHTSB1DXBKTP.png,1
11476,/content/drive/MyDrive/solar_PV/data/France/google_all/img/XAEKJ2F2BHTWGN.png,1
11492,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VJFREAABHGISC.png,1
11524,/content/drive/MyDrive/solar_PV/data/France/google_all/img/OCQPADE9KAAZC.png,1
11537,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/MLETL5627ZXJBJ.png,1
11598,/content/drive/MyDrive/solar_PV/data/France/google_all/img/VMEIE94FBJAAFV.png,1
11692,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NVMDH754AAEYUB.png,1
11706,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KDJAB5C36ZCSKD.png,1
11741,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QWAKK72AUCZMT.png,1
11829,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/RBDSJ45FDUWVTF.png,1
11846,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MPHVK83BBXRNAC.png,1
11994,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EEHCE5E35MGERZ.png,1
12063,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NTVLW8C06NCADU.png,1
12145,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QPTIR7AB8LYJAX.png,1
12179,/content/drive/MyDrive/solar_PV/data/France/google_all/img/DZBQJ3FB7GQYBV.png,1
12192,/content/drive/MyDrive/solar_PV/data/France/google_all/img/WLMAE8F55CQHTZ.png,1
12230,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/XDEPC8844KOVYX.png,1
12361,/content/drive/MyDrive/solar_PV/data/France/google_all/img/TCPDP5C54OYHBV.png,1
12424,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/KYCWH5A74AQBGN.png,1
12498,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/BQKOSCFFEIHSW.png,1
12554,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/EXXUQ1F43DVDRN.png,1
12565,/content/drive/MyDrive/solar_PV/data/France/google_all/img/NKVIW2E6EIWYHI.png,1
12620,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/OFARQ1C07WWBWK.png,1
12626,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ZAXGF75D6QXTES.png,1
12645,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/WYMOPF92QGFEU.png,1
12669,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/IIVZU380DOKNQU.png,1
12723,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/SVVBT70CMPTDY.png,1
12753,/content/drive/MyDrive/solar_PV/data/France/google_all/img/LGXBM4EEDPDSLI.png,1
12775,/content/drive/MyDrive/solar_PV/data/France/google_all/img/AWZHS532DZVZLJ.png,1
12790,/content/drive/MyDrive/solar_PV/data/France/google_all/img/ETTUA535ANZWSL.png,1
12797,/content/drive/MyDrive/solar_PV/data/France/google_all/img/AOKDA5806WWJKT.png,1
12818,/content/drive/MyDrive/solar_PV/data/France/google_all/img/EKIEM351PALMY.png,1
12831,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/KTXYE93ECUATCX.png,1
12930,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LPOUC7574GIWVM.png,1
12940,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/KNDHZ90F6HGCQU.png,1
12951,/content/drive/MyDrive/solar_PV/data/France/google_all/img/MDFDA311CZCMXZ.png,1
12975,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/GNFMM8706VJPYI.png,1
12977,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QRQAY1E6AEGYDG.png,1
13021,/content/drive/MyDrive/solar_PV/data/France/google_all/img/SRPIO4B56LQFQU.png,1
13071,/content/drive/MyDrive/solar_PV/data/France/google_all/img/KWXZS6C9FNIMUP.png,1
13107,/content/drive/MyDrive/solar_PV/data/France/google_all/img/PAOCY49ACPGHJD.png,1
13164,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/OJOOH4E8FQHSOG.png,1
13203,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ORXCM9A36GRKPM.png,1
13210,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/BFYXC3D2CHSFDT.png,1
13299,/content/drive/MyDrive/solar_PV/data/France/google_all/img/QWLZF7F08LTNCY.png,1
13359,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/ELGNO26CBVDPWF.png,1
13428,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/LWQSW8946LSKJF.png,1
13466,/content/drive/MyDrive/solar_PV/data/France/ign_all/img/EAOZG5B69CIRTP.png,1
